row_kind,sessions,sigma_l_arm,power_scale_arm,form,m2,depletion_cycles,propagation,peak,w0_um,w0_err_parabola_um,bound_kind,w0_bound95_um,w0_lo_um,w0_hi_um,w0_lo_overdispersed_um,w0_hi_overdispersed_um,w0_shift_um,chi2,dchi2,chi2_red,n_eff,n_traces,start_spread_chi2,chi2_red_by_session,session_verdicts,nfev,beta_rel,beta_rel_err_hessian,sigma_l_shared,sigma_l_shared_err_hessian,sigma_l_P,sigma_l_P_err_hessian,sigma_l_T,sigma_l_T_err_hessian,sigma_l_E,sigma_l_E_err_hessian,sigma_l_M,sigma_l_M_err_hessian,sigma_l_Q,sigma_l_Q_err_hessian,omega_scale,omega_scale_err_hessian,gamma_l,gamma_l_err_hessian,lograte_E_4121,lograte_E_4121_err_hessian,lograte_E_4154,lograte_E_4154_err_hessian,lograte_E_4192,lograte_E_4192_err_hessian,lograte_E_4207,lograte_E_4207_err_hessian,power_scale_P,power_scale_P_err_hessian,power_scale_T,power_scale_T_err_hessian,power_scale_E,power_scale_E_err_hessian,power_scale_M,power_scale_M_err_hessian,power_scale_Q,power_scale_Q_err_hessian,beta_khz_per_1e12,beta_err_khz_hessian,beta_pull_vs_theory_hessian,beta_fixed_rel,dchi2_beta_0,dchi2_beta_theory,dchi2_beta_5x,dchi2_beta_20x,beta_profile_1sigma_hi_khz,beta_profile_ub95_khz,omega_scale_pull,s0_225_mhz,omega_225_mhz,transit_130_mhz,transit_130_depleted_mhz,z_ratio,licensed,w0_licence_edge_um,power_ratio_pred,power_ratio_pred_fitted_omega,power_ratio_meas,power_ratio_bar,power_arm_pull,power_arm_refused,power_arm_pooled_pull,power_arm_pooled_refused,power_lo_w,power_hi_w,width_slope_per_w,width_slope_err_lsq_per_w,width_slope_sign,noise_a_v,noise_b_v,noise_tau_int,at_bound,seconds,note,status
beta_profile,PT,session,False,mixed,1,0,,,82,,,,,,,,,76000,38,0.89,86000,159,0.0035,P:0.904 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",133,0,,,,2.0,,1.8,,,,,,,,0.22,,0.63,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,-3.9,0.22,0.060,0.75,0.75,0.16,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,320,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,82,,,,,,,,,76000,14,0.89,86000,159,0.0035,P:0.904 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",133,1.0,,,,2.0,,1.9,,,,,,,,0.23,,0.53,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,-3.8,0.22,0.063,0.75,0.75,0.16,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,320,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,82,,,,,,,,,78000,1900,0.89,86000,159,0.0035,P:0.904 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",133,5.0,,,,1.9,,2.4,,,,,,,,0.24,,0.15,,,,,,,,,,,,,,,,,,,,17,,,5.0,,,,,,,-3.8,0.22,0.065,0.75,0.75,0.16,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,320,"beta_self pinned at 5 times theory (17.49 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,82,,,,,,,,,170000,94000,0.89,86000,159,0.0035,P:0.904 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",133,20,,,,0.20,,2.1,,,,,,,,0.0093,,0.00000000000047,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,-5.0,0.22,0.0025,0.75,0.75,0.16,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,320,"beta_self pinned at 20 times theory (69.94 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
grid,PT,session,False,mixed,1,0,,,84,,,,,,,,,76000,310,0.89,86000,159,0.019,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",147,0.632,0.034,,,2.0372,0.0077,1.887,0.026,,,,,,,0.243,0.094,0.5684,0.0035,,,,,,,,,,,,,,,,,,,2.21,0.12,-3.3,,38,14,1900,93000,2.3,2.5,-3.8,0.21,0.064,0.73,0.73,0.15,True,40,1.0042,1.0007,0.9956,0.0188,0.46,False,0.46,False,,,,,,,,,,320,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l free and shared, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.151 (M2 1), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 0.7295 to 0.7295 MHz). the _err_hessian bars are conditional, every other parameter pinned. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, passes at pull +0.46, pooled over 1 sessions passes at pull +0.46. centres profiled per trace and re-profiled after each inner fit, outer passes [1, 1], last centre move 0.015 MHz",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,84,,,,,,,,,76000,38,0.89,86000,159,0.019,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",147,0,,,,2.0,,1.8,,,,,,,,0.24,,0.63,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,-3.8,0.21,0.062,0.73,0.73,0.15,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,320,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,84,,,,,,,,,76000,14,0.89,86000,159,0.019,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",147,1.0,,,,2.0,,1.9,,,,,,,,0.25,,0.53,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,-3.8,0.21,0.065,0.73,0.73,0.15,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,320,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,84,,,,,,,,,78000,1900,0.89,86000,159,0.019,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",147,5.0,,,,2.0,,2.4,,,,,,,,0.26,,0.15,,,,,,,,,,,,,,,,,,,,17,,,5.0,,,,,,,-3.7,0.21,0.067,0.73,0.73,0.15,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,320,"beta_self pinned at 5 times theory (17.49 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,84,,,,,,,,,170000,93000,0.89,86000,159,0.019,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",147,20,,,,0.20,,2.2,,,,,,,,0.011,,0.000000000012,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,-4.9,0.21,0.0029,0.73,0.73,0.15,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,320,"beta_self pinned at 20 times theory (69.94 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
grid,PT,session,False,mixed,1,0,,,86,,,,,,,,,76000,320,0.89,86000,159,0.016,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",147,0.622,0.034,,,2.0626,0.0076,1.911,0.025,,,,,,,0.256,0.098,0.5725,0.0035,,,,,,,,,,,,,,,,,,,2.18,0.12,-3.4,,38,14,1900,92000,2.3,2.4,-3.7,0.20,0.064,0.71,0.71,0.14,True,40,1.0038,1.0006,0.9956,0.0188,0.44,False,0.44,False,,,,,,,,,,310,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l free and shared, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.144 (M2 1), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 0.7125 to 0.7125 MHz). the _err_hessian bars are conditional, every other parameter pinned. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, passes at pull +0.44, pooled over 1 sessions passes at pull +0.44. centres profiled per trace and re-profiled after each inner fit, outer passes [1, 1], last centre move 0.016 MHz",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,86,,,,,,,,,76000,38,0.89,86000,159,0.016,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",147,0,,,,2.1,,1.8,,,,,,,,0.25,,0.63,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,-3.7,0.20,0.063,0.71,0.71,0.14,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,310,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,86,,,,,,,,,76000,14,0.89,86000,159,0.016,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",147,1.0,,,,2.1,,2.0,,,,,,,,0.27,,0.54,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,-3.7,0.20,0.066,0.71,0.71,0.14,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,310,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,86,,,,,,,,,78000,1900,0.89,86000,159,0.016,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",147,5.0,,,,2.0,,2.5,,,,,,,,0.27,,0.16,,,,,,,,,,,,,,,,,,,,17,,,5.0,,,,,,,-3.6,0.20,0.068,0.71,0.71,0.14,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,310,"beta_self pinned at 5 times theory (17.49 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,86,,,,,,,,,170000,92000,0.89,86000,159,0.016,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",147,20,,,,0.20,,2.2,,,,,,,,0.014,,0.000000000033,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,-4.9,0.20,0.0035,0.71,0.71,0.14,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,310,"beta_self pinned at 20 times theory (69.94 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
grid,PT,session,False,mixed,1,0,,,88,,,,,,,,,76000,330,0.89,86000,159,0.011,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",140,0.630,0.034,,,2.0869,0.0075,1.936,0.025,,,,,,,0.28,0.10,0.5739,0.0035,,,,,,,,,,,,,,,,,,,2.20,0.12,-3.3,,38,14,1900,91000,2.3,2.4,-3.6,0.19,0.067,0.70,0.70,0.14,True,40,1.0035,1.0006,0.9956,0.0188,0.42,False,0.42,False,,,,,,,,,,270,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l free and shared, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.138 (M2 1), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 0.6963 to 0.6963 MHz). the _err_hessian bars are conditional, every other parameter pinned. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, passes at pull +0.42, pooled over 1 sessions passes at pull +0.42. centres profiled per trace and re-profiled after each inner fit, outer passes [1, 1], last centre move 0.016 MHz",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,88,,,,,,,,,76000,38,0.89,86000,159,0.011,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",140,0,,,,2.1,,1.8,,,,,,,,0.27,,0.63,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,-3.6,0.19,0.064,0.70,0.70,0.14,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,270,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,88,,,,,,,,,76000,14,0.89,86000,159,0.011,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",140,1.0,,,,2.1,,2.0,,,,,,,,0.28,,0.54,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,-3.6,0.19,0.067,0.70,0.70,0.14,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,270,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,88,,,,,,,,,78000,1900,0.89,86000,159,0.011,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",140,5.0,,,,2.0,,2.5,,,,,,,,0.29,,0.16,,,,,,,,,,,,,,,,,,,,17,,,5.0,,,,,,,-3.6,0.19,0.068,0.70,0.70,0.14,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,270,"beta_self pinned at 5 times theory (17.49 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,88,,,,,,,,,170000,91000,0.89,86000,159,0.011,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",140,20,,,,0.20,,2.2,,,,,,,,0.016,,0.0000000045,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,-4.9,0.19,0.0038,0.70,0.70,0.14,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,270,"beta_self pinned at 20 times theory (69.94 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
grid,PT,session,False,mixed,1,0,,,90,,,,,,,,,76000,340,0.89,86000,159,0.025,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",133,0.623,0.034,,,2.1094,0.0075,1.957,0.025,,,,,,,0.29,0.10,0.5770,0.0035,,,,,,,,,,,,,,,,,,,2.18,0.12,-3.4,,39,14,1900,90000,2.3,2.4,-3.6,0.18,0.066,0.68,0.68,0.13,True,40,1.0032,1.0006,0.9956,0.0188,0.41,False,0.41,False,,,,,,,,,,190,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l free and shared, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.132 (M2 1), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 0.6809 to 0.6809 MHz). the _err_hessian bars are conditional, every other parameter pinned. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, passes at pull +0.41, pooled over 1 sessions passes at pull +0.41. centres profiled per trace and re-profiled after each inner fit, outer passes [1, 1], last centre move 0.017 MHz",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,90,,,,,,,,,76000,39,0.89,86000,159,0.025,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",133,0,,,,2.1,,1.9,,,,,,,,0.29,,0.64,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,-3.6,0.18,0.066,0.68,0.68,0.13,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,190,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,90,,,,,,,,,76000,14,0.89,86000,159,0.025,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",133,1.0,,,,2.1,,2.0,,,,,,,,0.30,,0.54,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,-3.5,0.18,0.069,0.68,0.68,0.13,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,190,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,90,,,,,,,,,78000,1900,0.89,86000,159,0.025,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",133,5.0,,,,2.0,,2.5,,,,,,,,0.30,,0.16,,,,,,,,,,,,,,,,,,,,17,,,5.0,,,,,,,-3.5,0.18,0.069,0.68,0.68,0.13,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,190,"beta_self pinned at 5 times theory (17.49 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,mixed,1,0,,,90,,,,,,,,,170000,90000,0.89,86000,159,0.025,P:0.905 T:0.867,"P:WING-LAW(core +2, wing -19) T:WING-LAW(core -5, wing -14)",133,20,,,,0.20,,2.2,,,,,,,,0.016,,0.000000011,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,-4.9,0.18,0.0036,0.68,0.68,0.13,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,190,"beta_self pinned at 20 times theory (69.94 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
arm,PT,session,False,gaussian,1,3,,,40,,,,,,,,,78000,1500,0.92,86000,159,0,P:0.928 T:0.889,"P:WING-LAW(core +6, wing -17) T:WING-LAW(core -3, wing -12)",72,0.184,0.035,,,0.2000,0.0041,0.2001,0.0083,,,,,,,0.011,0.016,0,,,,,,,,,,,,,,,,,,,,0.64,0.12,-7.3,,,,,,,,-4.9,0.92,0.013,1.5,1.6,0.67,False,40,1.1200,1.0416,0.9956,0.0188,6.6,True,6.6,True,,,,,,,,,sigma_l_P sigma_l_T,240,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l pinned at zero, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.667 (M2 1), depletion at 3 cycles through companion_transit_mhz (transit at 130 C 1.5320 to 1.6412 MHz). the _err_hessian bars are conditional, every other parameter pinned, at a bound: sigma_l_P sigma_l_T. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, refused at pull +6.63, pooled over 1 sessions refused at pull +6.63. centres profiled per trace and re-profiled after each inner fit, outer passes [1], last centre move 0.001 MHz. dchi2 is against the base arm (M2 1, no depletion) at the same waist, warm-started from it",DIAGNOSTIC
arm,PT,session,False,gaussian,1,3,,,42,,,,,,,,,77000,730,0.91,86000,159,0,P:0.916 T:0.885,"P:WING-LAW(core +3, wing -18) T:WING-LAW(core -5, wing -12)",114,1.284,0.034,,,0.2023,0.0095,0.29,0.13,,,,,,,0.018,0.024,0,,,,,,,,,,,,,,,,,,,,4.49,0.12,2.5,,,,,,,,-4.9,0.84,0.018,1.5,1.5,0.60,True,40,1.0986,1.0336,0.9956,0.0188,5.5,True,5.5,True,,,,,,,,,sigma_l_P,190,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l pinned at zero, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.605 (M2 1), depletion at 3 cycles through companion_transit_mhz (transit at 130 C 1.4590 to 1.5464 MHz). the _err_hessian bars are conditional, every other parameter pinned, at a bound: sigma_l_P. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, refused at pull +5.49, pooled over 1 sessions refused at pull +5.49. centres profiled per trace and re-profiled after each inner fit, outer passes [1], last centre move 0.003 MHz. dchi2 is against the base arm (M2 1, no depletion) at the same waist, warm-started from it",DIAGNOSTIC
arm,PT,session,False,gaussian,1,3,,,90,,,,,,,,,78000,5.4,0.92,86000,159,0,P:0.918 T:0.889,"P:WING-LAW(core +7, wing -19) T:WING-LAW(core -3, wing -12)",18,3.827,0.034,,,2.3783,0.0068,2.606,0.020,,,,,,,2.444,0.045,0,,,,,,,,,,,,,,,,,,,,13.39,0.12,25,,,,,,,,7.2,0.18,0.56,0.68,0.68,0.13,True,40,1.0036,1.0172,0.9956,0.0188,0.43,False,0.43,False,,,,,,,,,,20,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l pinned at zero, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.132 (M2 1), depletion at 3 cycles through companion_transit_mhz (transit at 130 C 0.6809 to 0.6830 MHz). the _err_hessian bars are conditional, every other parameter pinned. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, passes at pull +0.43, pooled over 1 sessions passes at pull +0.43. centres profiled per trace and re-profiled after each inner fit, outer passes [1], last centre move 0.000 MHz. dchi2 is against the base arm (M2 1, no depletion) at the same waist, warm-started from it",DIAGNOSTIC
arm,PT,session,False,gaussian,1.5,0,,,40,,,,,,,,,76000,1.0,0.90,86000,159,0,P:0.905 T:0.885,"P:WING-LAW(core +0, wing -18) T:WING-LAW(core -5, wing -12)",18,1.401,0.034,,,0.2000,0.0075,0.43,0.11,,,,,,,0.025,0.031,0,,,,,,,,,,,,,,,,,,,,4.90,0.12,3.6,,,,,,,,-4.9,0.92,0.029,1.5,1.5,1.0,False,49,1.0841,1.0076,0.9956,0.0188,4.7,True,4.7,True,,,,,,,,,sigma_l_P,100,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l pinned at zero, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 1.001 (M2 1.5), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 1.5320 to 1.5320 MHz). the _err_hessian bars are conditional, every other parameter pinned, at a bound: sigma_l_P. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, refused at pull +4.72, pooled over 1 sessions refused at pull +4.72. centres profiled per trace and re-profiled after each inner fit, outer passes [1], last centre move 0.001 MHz. dchi2 is against the base arm (M2 1, no depletion) at the same waist, warm-started from it",DIAGNOSTIC
